bedrooms,location,area,bathrooms,parking,price
2.0,Sea Point,90.0,2,1,3795000.0
3.0,Sea Point,182.0,2,2,5230000.0
1.0,Sea Point,73.0,1,1,2100000.0
3.0,Sea Point,245.0,3,2,13500000.0
0,Sea Point,51.0,1,1,1995000.0
2.0,Sea Point,86.0,2,1,3900000.0
0.0,Sea Point,48.0,1,1,2999000.0
2.0,Sea Point,125.0,2,1,5495000.0
1.0,Sea Point,51.0,2,1,3150000.0
0.0,Sea Point,48.0,1,1,2999000.0
1.0,Sea Point,56.0,1,1,2890000.0
0.0,Sea Point,43.0,1,1,1800000.0
2.0,Sea Point,90.0,2,2,5900000.0
3.0,Sea Point,130.0,2,1,3790000.0
2.0,Sea Point,75.0,2,2,3850000.0
2.0,Sea Point,75.0,2,2,3850000.0
3.0,Sea Point,175.0,3.5,2,7950000.0
0,Sea Point,33.0,1,1,1650000.0
2.0,Sea Point,88.0,2,1,2950000.0
2.0,Sea Point,85.0,1,1,3295000.0
2.0,Sea Point,91.0,1,1,2999000.0
0.0,Sea Point,48.0,1,1,2450000.0
2.0,Sea Point,91.0,2,2,4495000.0
2.0,Sea Point,79.0,1,1,3495000.0
2.0,Sea Point,102.0,2,2,5990000.0
2.0,Sea Point,85.0,1,1,3295000.0
3.0,Sea Point,161.0,2,1,7950000.0
3.0,Sea Point,161.0,2,1,7950000.0
1.0,Sea Point,65.0,1,1,4017550.0
2.0,Sea Point,81.0,2,1,5200000.0
2.0,Sea Point,133.0,2.5,1,4350000.0
2.0,Sea Point,94.0,2,1,4995000.0
2.0,Sea Point,157.0,2,1,7250000.0
3.0,Sea Point,180.0,2,1,11200000.0
1.0,Sea Point,93.0,1,1,2695000.0
2.0,Sea Point,70.0,1,1,3250000.0
2.0,Sea Point,101.0,1,1,3995000.0
3.0,Sea Point,168.0,2,2,6900000.0
2.0,Sea Point,269.0,2,3,10750000.0
2.0,Sea Point,150.0,2,1,6950000.0
3.0,Sea Point,186.0,3.5,2,16000000.0
2.0,Sea Point,152.0,2.5,2,7000000.0
2.0,Sea Point,154.0,2.5,2,8834050.0
