bedrooms,location,area,price
3.0,Sea Point,126.0,4999000.0
0,Sea Point,46.0,1997000.0
2.0,Sea Point,109.0,2999999.0
2.0,Sea Point,85.0,2250000.0
0,Sea Point,39.0,1695000.0
0.0,Sea Point,41.0,3299000.0
2.0,Sea Point,132.0,5800000.0
1.0,Sea Point,62.0,2100000.0
1.0,Sea Point,52.0,1995000.0
2.0,Sea Point,105.0,5699000.0
2.0,Sea Point,121.0,4950000.0
1.0,Sea Point,74.0,2599000.0
0,Sea Point,91.0,3495000.0
3.0,Sea Point,109.0,5900000.0
3.0,Sea Point,319.0,29500000.0
2.0,Sea Point,111.0,4800000.0
2.0,Sea Point,76.0,3250000.0
2.0,Sea Point,63.0,2750000.0
2.0,Sea Point,121.0,4950000.0
1.0,Sea Point,82.0,3995000.0
3.0,Sea Point,348.0,15875000.0
2.0,Sea Point,137.0,6750000.0
2.0,Sea Point,88.0,4600000.0
2.0,Sea Point,216.0,8500000.0
1.0,Sea Point,76.0,3995000.0
2.0,Sea Point,88.0,3590000.0
3.0,Sea Point,110.0,4990000.0
0.0,Sea Point,42.0,1795000.0
1.0,Sea Point,73.0,1850000.0
2.0,Sea Point,95.0,3995000.0
3.0,Sea Point,435.0,32950000.0
0.0,Sea Point,42.0,1795000.0
2.0,Sea Point,72.0,3300000.0
1.0,Sea Point,24.0,1275000.0
2.0,Sea Point,97.0,3350000.0
3.0,Sea Point,97.0,2495000.0
2.0,Sea Point,151.0,6899000.0
2.0,Sea Point,83.0,4500000.0
2.0,Sea Point,109.0,4600000.0
1.0,Sea Point,47.0,1850000.0
1.0,Sea Point,63.0,1850000.0
2.0,Sea Point,172.0,5750000.0
2.0,Sea Point,156.0,11900000.0
0.0,Sea Point,37.0,1795000.0
1.0,Sea Point,55.0,3599990.0
3.0,Sea Point,87.0,2500000.0
2.0,Sea Point,93.0,2350000.0
2.0,Sea Point,79.0,2395000.0
2.0,Sea Point,97.0,2950000.0
